"Ecosystem Name","Country","Ecosystem Functional Group","Threat","Threat Bounds","Trigger","Area","Assessment System","Source","Reference"
"1.A.3.Ej.606 - Northern Andean Montane & Upper Montane Humid Forest","Venezuela","T1.3","CR","EN -- CR","A3",88950.8223,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Ej.606 - Northern Andean Montane & Upper Montane Humid Forest","Colombia","T1.3","CR","EN -- CR","A3",88950.8223,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Ej.607 - Northern Andean Lower Montane Humid Forest","Peru","T1.3","EN",NA,"A3",89516.2266,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Ej.607 - Northern Andean Lower Montane Humid Forest","Ecuador","T1.3","EN",NA,"A3",89516.2266,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Ej.607 - Northern Andean Lower Montane Humid Forest","Venezuela","T1.3","EN",NA,"A3",89516.2266,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Ej.607 - Northern Andean Lower Montane Humid Forest","Colombia","T1.3","EN",NA,"A3",89516.2266,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Ej.607 - Northern Andean Lower Montane Humid Forest","Panama","T1.3","EN",NA,"A3",89516.2266,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Ej.609 - Northern Andes Venezuelan Coastal Ridge Forest","Venezuela","T1.3","LC","LC -- VU",NA,4285.71,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Ej.610 - Central Andean (Yungas) Montane & Upper Montane Humid Forest","Chile","T1.3","EN","VU -- EN","A3",64619.4267,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Ej.610 - Central Andean (Yungas) Montane & Upper Montane Humid Forest","Argentina","T1.3","EN","VU -- EN","A3",64619.4267,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Ej.610 - Central Andean (Yungas) Montane & Upper Montane Humid Forest","Bolivia","T1.3","EN","VU -- EN","A3",64619.4267,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Ej.610 - Central Andean (Yungas) Montane & Upper Montane Humid Forest","Peru","T1.3","EN","VU -- EN","A3",64619.4267,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Ej.610 - Central Andean (Yungas) Montane & Upper Montane Humid Forest","Ecuador","T1.3","EN","VU -- EN","A3",64619.4267,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Ej.611 - Central Andean (Yungas) Lower Montane Humid Forest","Argentina","T1.3","NT","LC -- VU","A2b",31304.1024,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Ej.611 - Central Andean (Yungas) Lower Montane Humid Forest","Bolivia","T1.3","NT","LC -- VU","A2b",31304.1024,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Ej.611 - Central Andean (Yungas) Lower Montane Humid Forest","Peru","T1.3","NT","LC -- VU","A2b",31304.1024,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
